state,county_name,county_fips,trump_votes,biden_votes,total_votes,percent_biden,winner
ALABAMA,AUTAUGA,1001,19838,7503,27341,27.442302768735598,Trump
ALABAMA,BALDWIN,1003,83544,24578,108122,22.731728972826993,Trump
ALABAMA,BARBOUR,1005,5622,4816,10438,46.139107108641504,Trump
ALABAMA,BIBB,1007,7525,1986,9511,20.8810850594049,Trump
ALABAMA,BLOUNT,1009,24711,2640,27351,9.652297905012613,Trump
ALABAMA,BULLOCK,1011,1146,3446,4592,75.04355400696863,Biden
ALABAMA,BUTLER,1013,5458,3965,9423,42.0778945134246,Trump
ALABAMA,CALHOUN,1015,35101,15216,50317,30.240276646063958,Trump
ALABAMA,CHAMBERS,1017,8753,6365,15118,42.10212991136394,Trump
ALABAMA,CHEROKEE,1019,10583,1624,12207,13.303842057835668,Trump
ALABAMA,CHILTON,1021,16085,3073,19158,16.040296481887463,Trump
ALABAMA,CHOCTAW,1023,4296,3127,7423,42.12582513808433,Trump
ALABAMA,CLARKE,1025,7324,5755,13079,44.001835002676046,Trump
ALABAMA,CLAY,1027,5601,1267,6868,18.447874199184625,Trump
ALABAMA,CLEBURNE,1029,6484,675,7159,9.428691157982959,Trump
ALABAMA,COFFEE,1031,16899,5076,21975,23.098976109215016,Trump
ALABAMA,COLBERT,1033,19203,8343,27546,30.287519059028533,Trump
ALABAMA,CONECUH,1035,3442,2966,6408,46.285892634207244,Trump
ALABAMA,COOSA,1037,3631,1796,5427,33.09379030772065,Trump
ALABAMA,COVINGTON,1039,14586,2721,17307,15.721962211821804,Trump
ALABAMA,CRENSHAW,1041,4864,1700,6564,25.898842169408898,Trump
ALABAMA,CULLMAN,1043,36880,4478,41358,10.82740944919967,Trump
ALABAMA,DALE,1045,14303,5170,19473,26.54958147178144,Trump
ALABAMA,DALLAS,1047,5524,12230,17754,68.88588487101498,Biden
ALABAMA,DEKALB,1049,24767,4281,29048,14.737675571467914,Trump
ALABAMA,ELMORE,1051,30164,10367,40531,25.577952678196937,Trump
ALABAMA,ESCAMBIA,1053,10869,4918,15787,31.152213846836002,Trump
ALABAMA,ETOWAH,1055,35528,11567,47095,24.560993736065402,Trump
ALABAMA,FAYETTE,1057,7300,1395,8695,16.04370327774583,Trump
ALABAMA,FRANKLIN,1059,10376,2086,12462,16.738886214090837,Trump
ALABAMA,GENEVA,1061,10848,1595,12443,12.818452141766453,Trump
ALABAMA,GREENE,1063,875,3884,4759,81.61378440848918,Biden
ALABAMA,HALE,1065,3192,4663,7855,59.36346276257161,Biden
ALABAMA,HENRY,1067,6607,2606,9213,28.286117442743947,Trump
ALABAMA,HOUSTON,1069,32618,12917,45535,28.36719007356978,Trump
ALABAMA,JACKSON,1071,19670,3717,23387,15.893445076324452,Trump
ALABAMA,JEFFERSON,1073,138843,181688,320531,56.68344091523129,Biden
ALABAMA,LAMAR,1075,6174,978,7152,13.674496644295303,Trump
ALABAMA,LAUDERDALE,1077,31721,11915,43636,27.305435878632323,Trump
ALABAMA,LAWRENCE,1079,12322,3562,15884,22.425081843364392,Trump
ALABAMA,LEE,1081,42221,27860,70081,39.753998944078994,Trump
ALABAMA,LIMESTONE,1083,34640,13672,48312,28.29938731578076,Trump
ALABAMA,LOWNDES,1085,1836,4972,6808,73.03172737955347,Biden
ALABAMA,MACON,1087,1541,7108,8649,82.18291131922766,Biden
ALABAMA,MADISON,1089,102780,87286,190066,45.92404743615376,Trump
ALABAMA,MARENGO,1091,5343,5488,10831,50.66937494229526,Biden
ALABAMA,MARION,1093,12205,1463,13668,10.703833772314896,Trump
ALABAMA,MARSHALL,1095,33191,5943,39134,15.186283027546379,Trump
ALABAMA,MOBILE,1097,101243,79474,180717,43.97704698506505,Trump
ALABAMA,MONROE,1099,6147,4455,10602,42.02037351443124,Trump
ALABAMA,MONTGOMERY,1101,33311,64529,97840,65.95359771054783,Biden
ALABAMA,MORGAN,1103,39664,13234,52898,25.01795909108095,Trump
ALABAMA,PERRY,1105,1339,3860,5199,74.24504712444701,Biden
ALABAMA,PICKENS,1107,5594,4022,9616,41.826123128119804,Trump
ALABAMA,PIKE,1109,8042,5636,13678,41.204854510893405,Trump
ALABAMA,RANDOLPH,1111,8559,2203,10762,20.470172830328934,Trump
ALABAMA,RUSSELL,1113,9864,11228,21092,53.233453442063336,Biden
ALABAMA,SHELBY,1117,79700,33268,112968,29.449047517881173,Trump
ALABAMA,ST. CLAIR,1115,36166,7744,43910,17.63607378729219,Trump
ALABAMA,SUMTER,1119,1598,4648,6246,74.41562600064042,Biden
ALABAMA,TALLADEGA,1121,22235,13138,35373,37.14132247759591,Trump
ALABAMA,TALLAPOOSA,1123,14963,5859,20822,28.13850734799731,Trump
ALABAMA,TUSCALOOSA,1125,51117,37765,88882,42.488917891136566,Trump
ALABAMA,WALKER,1127,26002,4834,30836,15.67648203398625,Trump
ALABAMA,WASHINGTON,1129,6564,2258,8822,25.59510315121288,Trump
ALABAMA,WILCOX,1131,1833,4048,5881,68.83183132120388,Biden
ALABAMA,WINSTON,1133,10195,974,11169,8.720565851911541,Trump
ALASKA,DISTRICT 1,2001,3511,3477,6988,49.75672581568403,Trump
ALASKA,DISTRICT 10,2010,8081,2727,10808,25.231310140636566,Trump
ALASKA,DISTRICT 11,2011,7096,3130,10226,30.608253471543122,Trump
ALASKA,DISTRICT 12,2012,7893,2957,10850,27.253456221198157,Trump
ALASKA,DISTRICT 13,2013,4652,2666,7318,36.430718775621756,Trump
ALASKA,DISTRICT 14,2014,6714,4261,10975,38.8246013667426,Trump
ALASKA,DISTRICT 15,2015,2671,2622,5293,49.53712450406197,Trump
ALASKA,DISTRICT 16,2016,3516,4274,7790,54.86521181001284,Biden
ALASKA,DISTRICT 17,2017,2810,4136,6946,59.54506190613302,Biden
ALASKA,DISTRICT 18,2018,2760,4681,7441,62.908211261927164,Biden
ALASKA,DISTRICT 19,2019,1975,3118,5093,61.221284115452576,Biden
ALASKA,DISTRICT 2,2002,3674,2104,5778,36.413984077535474,Trump
ALASKA,DISTRICT 20,2020,2383,4881,7264,67.19438325991189,Biden
ALASKA,DISTRICT 21,2021,3690,5414,9104,59.46836555360281,Biden
ALASKA,DISTRICT 22,2022,4684,4553,9237,49.290895312330846,Trump
ALASKA,DISTRICT 23,2023,3655,3810,7465,51.03817816476892,Biden
ALASKA,DISTRICT 24,2024,5378,4736,10114,46.82618153055171,Trump
ALASKA,DISTRICT 25,2025,4407,4600,9007,51.0713889197291,Biden
ALASKA,DISTRICT 26,2026,5243,4558,9801,46.505458626670745,Trump
ALASKA,DISTRICT 27,2027,4324,4844,9168,52.83595113438045,Biden
ALASKA,DISTRICT 28,2028,6162,6264,12426,50.410429744084986,Biden
ALASKA,DISTRICT 29,2029,7464,2985,10449,28.56732701693942,Trump
ALASKA,DISTRICT 3,2003,6076,1903,7979,23.850106529640307,Trump
ALASKA,DISTRICT 30,2030,7180,2638,9818,26.869016092890607,Trump
ALASKA,DISTRICT 31,2031,6971,5037,12008,41.94703530979347,Trump
ALASKA,DISTRICT 32,2032,4440,3506,7946,44.12282909640071,Trump
ALASKA,DISTRICT 33,2033,3059,7535,10594,71.12516518784217,Biden
ALASKA,DISTRICT 34,2034,4543,5763,10306,55.91888220454104,Biden
ALASKA,DISTRICT 35,2035,4769,5011,9780,51.237218813905926,Biden
ALASKA,DISTRICT 36,2036,5114,3796,8910,42.60381593714927,Trump
ALASKA,DISTRICT 37,2037,2358,2560,4918,52.05368035786905,Biden
ALASKA,DISTRICT 38,2038,1737,3202,4939,64.83093743672809,Biden
ALASKA,DISTRICT 39,2039,1939,3580,5519,64.86682369994564,Biden
ALASKA,DISTRICT 4,2004,4690,5345,10035,53.26357747882412,Biden
ALASKA,DISTRICT 40,2040,1994,2318,4312,53.7569573283859,Biden
ALASKA,DISTRICT 5,2005,4077,4204,8281,50.76681560198044,Biden
ALASKA,DISTRICT 6,2006,5770,3272,9042,36.186684361866845,Trump
ALASKA,DISTRICT 7,2007,7027,2215,9242,23.96667388011253,Trump
ALASKA,DISTRICT 8,2008,7618,1953,9571,20.405391286176993,Trump
ALASKA,DISTRICT 9,2009,7787,2769,10556,26.231527093596057,Trump
ALASKA,DISTRICT 99,2099,59,373,432,86.3425925925926,Biden
ARIZONA,APACHE,4001,11442,23293,34735,67.05916222829998,Biden
ARIZONA,COCHISE,4003,35557,23732,59289,40.02766111757662,Trump
ARIZONA,COCONINO,4005,27052,44698,71750,62.296864111498266,Biden
ARIZONA,GILA,4007,18377,8943,27320,32.734260614934115,Trump
ARIZONA,GRAHAM,4009,10749,4034,14783,27.288101197321247,Trump
ARIZONA,GREENLEE,4011,2433,1182,3615,32.697095435684645,Trump
ARIZONA,LA PAZ,4012,5129,2236,7365,30.35980991174474,Trump
ARIZONA,MARICOPA,4013,995665,1040774,2036439,51.107546064478235,Biden
ARIZONA,MOHAVE,4015,78535,24831,103366,24.02240582009558,Trump
ARIZONA,NAVAJO,4017,27657,23383,51040,45.81308777429467,Trump
ARIZONA,PIMA,4019,207758,304981,512739,59.48074946512748,Biden
ARIZONA,PINAL,4021,107077,75106,182183,41.22558087198037,Trump
ARIZONA,SANTA CRUZ,4023,6194,13138,19332,67.95985930064143,Biden
ARIZONA,YAVAPAI,4025,91527,49602,141129,35.14656803350126,Trump
ARIZONA,YUMA,4027,36534,32210,68744,46.85499825439311,Trump
ARKANSAS,ARKANSAS,5001,4304,1818,6122,29.696177719699445,Trump
ARKANSAS,ASHLEY,5003,5548,2125,7673,27.694513228202787,Trump
ARKANSAS,BAXTER,5005,15836,4635,20471,22.64178594108739,Trump
ARKANSAS,BENTON,5007,73965,42249,116214,36.35448396922918,Trump
ARKANSAS,BOONE,5009,13652,3064,16716,18.329743957884663,Trump
ARKANSAS,BRADLEY,5011,2335,1214,3549,34.20681882220344,Trump
ARKANSAS,CALHOUN,5013,1636,479,2115,22.64775413711584,Trump
ARKANSAS,CARROLL,5015,7424,4023,11447,35.14457936577269,Trump
ARKANSAS,CHICOT,5017,1752,2260,4012,56.33100697906281,Biden
ARKANSAS,CLARK,5019,4616,3438,8054,42.686863670225975,Trump
ARKANSAS,CLAY,5021,4086,962,5048,19.057052297939777,Trump
ARKANSAS,CLEBURNE,5023,10328,1988,12316,16.141604417018513,Trump
ARKANSAS,CLEVELAND,5025,2867,651,3518,18.504832291074475,Trump
ARKANSAS,COLUMBIA,5027,5500,2814,8314,33.846523935530435,Trump
ARKANSAS,CONWAY,5029,5694,2615,8309,31.471897941990612,Trump
ARKANSAS,CRAIGHEAD,5031,25558,11921,37479,31.807145334720776,Trump
ARKANSAS,CRAWFORD,5033,18607,4959,23566,21.043028091318,Trump
ARKANSAS,CRITTENDEN,5035,7333,8514,15847,53.72625733577333,Biden
ARKANSAS,CROSS,5037,4946,1772,6718,26.376897886275678,Trump
ARKANSAS,DALLAS,5039,1573,963,2536,37.97318611987382,Trump
ARKANSAS,DESHA,5041,1921,2016,3937,51.20650241300483,Biden
ARKANSAS,DREW,5043,4349,2426,6775,35.808118081180815,Trump
ARKANSAS,FAULKNER,5045,34421,18347,52768,34.76917828987265,Trump
ARKANSAS,FRANKLIN,5047,5677,1300,6977,18.632650136161676,Trump
ARKANSAS,FULTON,5049,3961,1035,4996,20.716573258606886,Trump
ARKANSAS,GARLAND,5051,29069,14045,43114,32.57642529108874,Trump
ARKANSAS,GRANT,5053,6794,1268,8062,15.728107169436864,Trump
ARKANSAS,GREENE,5055,12670,3058,15728,19.443031536113935,Trump
ARKANSAS,HEMPSTEAD,5057,4470,2138,6608,32.35472154963681,Trump
ARKANSAS,HOT SPRING,5059,9202,3082,12284,25.089547378704008,Trump
ARKANSAS,HOWARD,5061,3367,1340,4707,28.468238793286595,Trump
ARKANSAS,INDEPENDENCE,5063,11250,2806,14056,19.963005122367672,Trump
ARKANSAS,IZARD,5065,4631,1021,5652,18.064401981599435,Trump
ARKANSAS,JACKSON,5067,3593,1365,4958,27.531262605889474,Trump
ARKANSAS,JEFFERSON,5069,9521,14981,24502,61.1419475961146,Biden
ARKANSAS,JOHNSON,5071,6938,2283,9221,24.758702960633336,Trump
ARKANSAS,LAFAYETTE,5073,1757,839,2596,32.31895223420647,Trump
ARKANSAS,LAWRENCE,5075,4569,1080,5649,19.118428040361128,Trump
ARKANSAS,LEE,5077,1286,1423,2709,52.52860834256183,Biden
ARKANSAS,LINCOLN,5079,2729,1032,3761,27.439510768412656,Trump
ARKANSAS,LITTLE RIVER,5081,3715,1226,4941,24.812790933009513,Trump
ARKANSAS,LOGAN,5083,6441,1544,7985,19.33625547902317,Trump
ARKANSAS,LONOKE,5085,22884,6686,29570,22.61075414271221,Trump
ARKANSAS,MADISON,5087,5658,1563,7221,21.64520149563772,Trump
ARKANSAS,MARION,5089,5783,1531,7314,20.93245829915231,Trump
ARKANSAS,MILLER,5091,11920,4245,16165,26.260439220538203,Trump
ARKANSAS,MISSISSIPPI,5093,7296,4558,11854,38.4511557280243,Trump
ARKANSAS,MONROE,5095,1545,1147,2692,42.60772659732541,Trump
ARKANSAS,MONTGOMERY,5097,3046,731,3777,19.353984643897274,Trump
ARKANSAS,NEVADA,5099,2133,1076,3209,33.53069492053599,Trump
ARKANSAS,NEWTON,5101,3192,709,3901,18.174826967444247,Trump
ARKANSAS,OUACHITA,5103,5294,3995,9289,43.00785875767036,Trump
ARKANSAS,PERRY,5105,3479,1012,4491,22.533956802493876,Trump
ARKANSAS,PHILLIPS,5107,2417,3623,6040,59.98344370860927,Biden
ARKANSAS,PIKE,5109,3519,644,4163,15.469613259668508,Trump
ARKANSAS,POINSETT,5111,5918,1424,7342,19.395260147098885,Trump
ARKANSAS,POLK,5113,7035,1246,8281,15.046491969568892,Trump
ARKANSAS,POPE,5115,18081,5772,23853,24.198214061124386,Trump
ARKANSAS,PRAIRIE,5117,2786,654,3440,19.011627906976745,Trump
ARKANSAS,PULASKI,5119,63687,101947,165634,61.549561080454495,Biden
ARKANSAS,RANDOLPH,5121,5355,1215,6570,18.493150684931507,Trump
ARKANSAS,SALINE,5125,39556,16060,55616,28.87658227848101,Trump
ARKANSAS,SCOTT,5127,2962,483,3445,14.020319303338171,Trump
ARKANSAS,SEARCY,5129,3365,588,3953,14.874778649127245,Trump
ARKANSAS,SEBASTIAN,5131,31198,14487,45685,31.71062712049907,Trump
ARKANSAS,SEVIER,5133,3884,1116,5000,22.32,Trump
ARKANSAS,SHARP,5135,5938,1398,7336,19.056706652126497,Trump
ARKANSAS,ST. FRANCIS,5123,3242,3604,6846,52.643879637744675,Biden
ARKANSAS,STONE,5137,4616,1180,5796,20.358868184955142,Trump
ARKANSAS,UNION,5139,10478,5584,16062,34.76528452247541,Trump
ARKANSAS,VAN BUREN,5141,6034,1593,7627,20.886324898387308,Trump
ARKANSAS,WASHINGTON,5143,47504,43824,91328,47.985283812193416,Trump
ARKANSAS,WHITE,5145,24182,5978,30160,19.820954907161802,Trump
ARKANSAS,WOODRUFF,5147,1543,856,2399,35.68153397248854,Trump
ARKANSAS,YELL,5149,5226,1284,6510,19.723502304147466,Trump
